# columns = TERM LEMMA POS PROB
# identifier = dumas1845a-92
# creator = Dumas, Alexandre
# created = 1845
# isPartOf = Vingt ans après
# title = XCII. Les oubliettes de M. de Mazarin

↵↵↵	↵↵↵	PUNCTstruct
Xcii	Xcii	PROPN
.	.	PUNCTsent
Les	le	DET
oubliettes	oubliette	NOUN
de	de	DET
M.	M.	PROPN
de	de	DET
Mazarin	Mazarin	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
On	on	PRON
arriva	arriver	VERB
à	à	ADP
la	le	DET
porte	porte	NOUN
par	par	ADP
laquelle	laquelle	PRON
avait	avoir	AUX
disparu	disparaître	VERB
Mazarin	Mazarin	PROPN
;	;	PUNCTclause
elle	elle	PRON
était	être	AUX
fermée	fermer	VERB
;	;	PUNCTclause
de	de	DET
Artagnan	Artagnan	PROPN
tenta	tenter	VERB
inutilement	inutilement	ADV
de	de	DET
l'	le:PRON	PRON
ouvrir	ouvrir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Voilà	voilà	NOUN
où	où	ADV
il	il	PRON
se	se	PRON
agit	agir	VERB
de	de	DET
placer	placer	NOUN
votre	votre	DET
coup	coup	NOUN
de	de	DET
épaule	épaule	NOUN
,	,	PUNCTclause
dit	dire	VERB
de	de	DET
Artagnan	Artagnan	PROPN
.	.	PUNCTsent
Poussez	pousser	VERB
,	,	PUNCTclause
ami	ami	NOUN
Porthos	Porthos	PROPN
,	,	PUNCTclause
mais	mais	CCONJ
doucement	doucement	ADV
,	,	PUNCTclause
sans	sans	ADP
bruit	bruit	NOUN
;	;	PUNCTclause
ne	ne	ADV
enfoncez	enfoncer	VERB
rien	rien	PRON
,	,	PUNCTclause
disjoignez	disjoindre	VERB
les	le	DET
battants	battant	NOUN
,	,	PUNCTclause
voilà	voilà	VERB
tout	tout	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Porthos	Porthos	PROPN
appuya	appuyer	VERB
sa	son	DET
robuste	robuste	ADJ
épaule	épaule	NOUN
contre	contre	ADP
un	un	DET
des	un	NOUN
panneaux	panneau	NOUN
,	,	PUNCTclause
qui	qui	PRON
plia	plier	VERB
,	,	PUNCTclause
et	et	CCONJ
de	de	DET
Artagnan	Artagnan	PROPN
introduisit	introduire	VERB
alors	alors	ADV
la	le	DET
pointe	pointe	NOUN
de	de	DET
son	son	NOUN
épée	épée	VERB
entre	entre	ADP
le	le	DET
pêne	pêne	NOUN
et	et	CCONJ
la	le	DET
gâche	gâche	NOUN
de	de	DET
la	le	AUX
serrure	serrure	NOUN
.	.	PUNCTsent
Le	le	DET
pêne	pêne	NOUN
,	,	PUNCTclause
taillé	tailler	VERB
en	en	ADP
biseau	biseau	NOUN
,	,	PUNCTclause
céda	céder	VERB
,	,	PUNCTclause
et	et	CCONJ
la	le	DET
porte	porte	NOUN
se	se	PRON
ouvrit	ouvrir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Quand	quand	SCONJ
je	je	PRON
vous	vous	PRON
disais	dire	VERB
,	,	PUNCTclause
ami	ami	NOUN
Porthos	Porthos	PROPN
,	,	PUNCTclause
que	que	SCONJ
on	on	PRON
obtenait	obtenir	VERB
tout	tout	ADJ
des	un	DET
femmes	femme	NOUN
et	et	CCONJ
des	un	ADP_DET
portes	porte	NOUN
en	en	ADP
les	le	DET
prenant	prendre	NOUN
par	par	ADP
la	le	DET
douceur	douceur	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Le	le:PRON	PRON
fait	faire	AUX
est	être	AUX
,	,	PUNCTclause
dit	dire	VERB
Porthos	Porthos	PROPN
,	,	PUNCTclause
que	que	SCONJ
vous	vous	PRON
êtes	être	AUX
un	un	DET
grand	grand	ADJ
moraliste	moraliste	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Entrons	entrer	NOUN
,	,	PUNCTclause
dit	dire	VERB
de	de	DET
Artagnan	Artagnan	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Ils	ils	PRON
entrèrent	entrer	VERB
.	.	PUNCTsent
Derrière	derrière	ADP
un	un	DET
vitrage	vitrage	NOUN
,	,	PUNCTclause
à	à	ADP
la	le	DET
lueur	lueur	NOUN
de	de	DET
la	le	AUX
lanterne	lanterner	VERB
du	du	ADP_DET
